"country","fatf","fin_secrecy","us_incsr","ti_cpi","wb_business_disclosure","wef_auditing_and_reporting_std","wef_security_exchange_reg","wb_fin_sector_reg","open_budget","wb_transpar_account_corruption","wef_instit_strength","rule_of_law","idea_political_disclosure","freedom_house","ML_TF","CORRUPTION_RISK","FIN_TRANSPAR_STD","PUBLIC_TRANSPAR_ACCOUNT","POLITICAL_LEGAL_RISK","OVERALL_SCORE"
"MAURITIUS",5.17006802721088,8.91891891891892,NA,4.8,4,2.5,2.83333333333333,NA,NA,NA,3.45714285714286,2,5,1.55555555555556,6.87409115980545,4.8,2.85714285714286,5,2.33756613756614,5.74360898932327
"MEXICO",4.35374149659864,NA,10,6.6,2,3.66666666666667,4.33333333333333,NA,3.9,NA,4.91428571428571,4.2,2.5,4.25555555555556,5.76530612244898,6.6,3.71428571428571,3.2,4.45661375661376,5.34742252456538
"MICRONESIA*",NA,NA,NA,NA,10,NA,NA,7,NA,6,NA,NA,7.5,0.7,NA,NA,8.5,6.75,0.7,6.59
"MOLDOVA",5.13888888888889,NA,5,6.5,3,4.83333333333333,6.5,5,NA,5,5.37142857142857,3.5,0,3.98888888888889,5.10416666666667,6.5,5.25,2.5,4.28677248677249,5.09454695767196
"MONACO***",5.30612244897959,5.40540540540541,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,1.05555555555556,5.29721244006958,NA,NA,7.5,1.05555555555556,5.16128781843068
"MONGOLIA",7.01388888888889,NA,5,6.2,4,6,7.16666666666667,7,4.9,5,5.22857142857143,3.7,0,1.78888888888889,6.51041666666667,6.2,6.3125,3.3,3.57248677248677,6.14227017195767
"MONTENEGRO",4.53900709219858,NA,5,5.6,5,4.66666666666667,4.66666666666667,NA,NA,NA,4.05714285714286,3.2,0,2.96666666666667,4.65425531914894,5.6,4.71428571428571,0,3.40793650793651,4.46280563998649
"MOROCCO",6.38297872340426,NA,5,6.3,3,3.83333333333333,4,NA,6.2,NA,4.11428571428571,6.2,2.5,6.08888888888889,6.03723404255319,6.3,3.78571428571429,4.35,5.46772486772487,5.61294551390296
"MOZAMBIQUE",9.07801418439716,NA,NA,7,5,5,6.5,5,5.3,6,5.28571428571429,5.5,2.5,4.27777777777778,9.07801418439716,7,5.5625,4.6,5.02116402116402,7.91614242091636
"MYANMAR*",7.30496453900709,NA,10,7.9,NA,7.83333333333333,8.33333333333333,NA,10,NA,6,8,3.75,7.33333333333333,7.97872340425532,7.9,8.08333333333333,6.875,7.11111111111111,7.88797576832151
"NAMIBIA",7.98611111111111,NA,NA,5.2,5,2.66666666666667,4,NA,4.5,NA,3.97142857142857,2.7,7.5,2.14444444444444,7.98611111111111,5.2,3.57142857142857,6,2.93862433862434,6.69361772486773
"NAURU*",5.74468085106383,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,1.03333333333333,5.40618955512573,NA,NA,7.5,1.03333333333333,5.25425316999785
"NEPAL",8.65248226950355,NA,NA,6.9,4,5.33333333333333,6,6,5.6,6,5.44285714285714,5.5,2.5,5.26666666666667,8.65248226950355,6.9,5.5,4.7,5.4031746031746,7.64427220533604
"NETHERLANDS",3.94557823129252,7.7027027027027,10,1.7,6,1.83333333333333,3,NA,NA,NA,1.97142857142857,NA,5,0.333333333333333,6.32207560778989,1.7,2.92857142857143,5,1.15238095238095,5.02625390696819
"NEW ZEALAND",3.80952380952381,7.09459459459459,NA,0.9,0,1.33333333333333,2.16666666666667,NA,0.7,NA,1.32857142857143,NA,0,0.6,5.3027378027378,0.9,1.5,0.35,0.964285714285714,3.82749385749386
"NICARAGUA",6.11111111111111,NA,5,7.2,6,4.83333333333333,5,6,5.8,7,4.97142857142857,6,5,4.51111111111111,5.83333333333333,7.2,5.1875,5.93333333333333,5.16084656084656,5.84450066137566
"NIGER",7.84722222222222,NA,NA,6.6,4,NA,NA,6,9.6,6,NA,4,5,4.51111111111111,7.84722222222222,6.6,5,6.86666666666667,4.25555555555556,7.06680555555556
"NIGERIA",7.14285714285714,NA,10,7.5,5,5,5,5,8.4,6,5.6,4.2,2.5,5.03333333333333,7.85714285714286,7.5,5,5.63333333333333,4.94444444444444,7.13603174603174
"NORWAY",3.82978723404255,7.02702702702703,NA,1.4,3,1.5,2.16666666666667,NA,1.7,NA,1.85714285714286,NA,2.5,0.333333333333333,5.2830780490355,1.4,2,2.1,1.0952380952381,4.03376263663498
"OMAN",5.17006802721088,NA,NA,5.3,2,2.33333333333333,2.33333333333333,NA,NA,NA,2.3,7.5,NA,7.36666666666667,5.17006802721088,5.3,2.28571428571429,NA,5.72222222222222,4.75738154911087
"PAKISTAN",6.12244897959184,NA,10,7.2,4,4.33333333333333,4.16666666666667,5,4.2,7,5.38571428571429,7,3.75,6.02222222222222,7.09183673469388,7.2,4.3125,4.98333333333333,6.13597883597884,6.53253448601663
"PALAU*",6.66666666666667,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,5,0.5,6.66666666666667,NA,10,5,0.5,6.78703703703704
